Estacion,Laguna,Abundancia,Riqueza,Shannon_H,Equitatividad_J,Nombre,Zona,pH,Temperatura ,Oxigeno mg/L,Conductividad ,Profundidad m,Turbidez m,ph lab,DBO5 mg O2/L,DQO,NO3- mg/L,NO2- mg/L,Hora,Fecha
otonio,Gazano L2,1073.333333,5,1.149492348,0.714219753,Gazano,L2,9.36,12.3,4,426,0.45,0.3,7.51,0,40,2.4,0,10:00,04/06/2024
otonio,Crespo L1,183.3333334,8,1.113677676,0.535565753,Crespo,L1,9.3,12,2.9,1552,0.45,0.45,8.91,9,23,<0.5,0,11:04,05/06/2024
otonio,Crespo C,138.3333333,10,1.725288368,0.749283218,Crespo,C,9.33,11.8,4.3,1553,0.15,0.15,8.91,9,23,<0.5,0,11:14,05/06/2024
otonio,Crespo L2,105.5555556,10,1.574759907,0.683909538,Crespo,L2,9.35,12.1,3.7,1552,0.18,0.18,8.91,9,23,<0.5,0,11:20,05/06/2024
otonio,Hernandez L1,476.6666667,17,2.470622711,0.872021416,Hernandez,L1,7.27,11.5,2.1,133,0.41,0.15,6.4,0,52,1.3,0,12:20,05/06/2024
otonio,Hernandez C,390,19,2.337231863,0.793778333,Hernandez,C,7.05,10.1,1.7,135,0.8,0.4,6.4,0,52,1.3,0,12:35,05/06/2024
otonio,Hernandez L2,356.6666667,22,2.413950057,0.780950146,Hernandez,L2,7.02,9.9,1.5,135,0.36,0.16,6.4,0,52,1.3,0,12:55,05/06/2024
otonio,Espinillo L1,1.666666666,5,1.094408629,0.679994314,Espinillo,L1,8.51,14,4.3,1367,0.61,0.61,7.6,3,37,<0.5,0,13:19,05/06/2024
otonio,Espinillo C,12.43589744,6,1.093071019,0.610054551,Espinillo,C,8.59,14.6,3.2,1346,0.81,0.81,7.6,3,37,<0.5,0,13:33,05/06/2024
otonio,Espinillo L2,113.3333333,6,1.216961681,0.679199246,Espinillo,L2,8.7,16.1,2.8,1360,0.73,0.73,7.6,3,37,<0.5,0,13:44,05/06/2024
primavera,Termas L1,108.8888889,11,1.876494754,0.782559095,Termas,L1,9.12,30.9,5.2,398,0.6,0.37,9.79,0,< 200,< 0.5,0.08,12:45,21/11/2023
primavera,Termas C,58.33333333,11,1.954354891,0.815029294,Termas,C,9.08,30.9,6.2,387,0.45,0.25,9.79,0,< 200,< 0.5,0.08,13:05,21/11/2023
primavera,Termas L2,326.6666667,15,2.36311409,0.872625658,Termas,L2,9.12,31.5,4.8,347,0.3,0.3,9.79,0,< 200,< 0.5,0.08,13:25,21/11/2023
primavera,Viale L1,173.3333333,8,1.676736608,0.806339863,Viale,L1,9.88,30.5,8.7,148,0.57,0.3,10.59,0,< 200,1.5,0.12,11:25,21/11/2023
primavera,Viale C,206.6666667,9,1.418122715,0.645415461,Viale,C,9.8,30.5,7.2,152,2.1,0.4,10.59,0,< 200,1.5,0.12,11:45,21/11/2023
primavera,Viale L2,102.2222222,6,1.284985151,0.717163868,Viale,L2,9.69,34,8.2,155,0.6,0.32,10.59,0,< 200,1.5,0.12,12:15,21/11/2023
primavera,Inta L1,193.3333333,9,1.500561599,0.682935015,Inta,L1,9.35,26.5,4,874,0.28,0.28,10.12,0,< 200,1.8,0.03,08:10,24/11/2023
primavera,Inta C,190,6,1.239248301,0.691637646,Inta,C,9.28,26.6,4.7,744,0.75,0.49,10.12,0,< 200,1.8,0.03,08:24,24/11/2023
primavera,Inta L2,120,10,2.100560086,0.912261654,Inta,L2,9.28,26.8,4.6,846,0.26,0.26,10.12,0,< 200,1.8,0.03,8.35,24/11/2023
primavera,Gazano L1,127.7777778,10,1.627228336,0.706696287,Gazano,L1,7.61,25.6,8.2,372,0.19,0.13,8.94,14,< 200,3.4,0.3,08:15,21/11/2023
primavera,Gazano C,5433.333334,13,0.668134825,0.260486556,Gazano,C,8.51,25.8,9.2,369,0.7,0.1,8.94,14,< 200,3.4,0.3,08:35,21/11/2023
primavera,Gazano L2,830,11,0.930039944,0.387856782,Gazano,L2,8.36,25.2,5.2,374,0.23,0.16,8.94,14,< 200,3.4,0.3,08:50,21/11/2023
primavera,Crespo L1,123.3333333,15,2.296138302,0.847893551,Crespo,L1,945,31,4.1,1932,0.42,0.42,10.57,0,< 200,<0.5,<0.03,14:00,24/11/2023
primavera,Crespo C,380,6,0.854686458,0.477009595,Crespo,C,941,31.51,4.4,1953,0.33,0.33,10.57,0,< 200,<0.5,<0.03,14:10,24/11/2023
primavera,Crespo L2,148.3333333,10,1.94436026,0.844424932,Crespo,L2,952,34.5,3.2,1970,0.2,0.2,10.57,0,< 200,<0.5,<0.03,14:20,24/11/2023
primavera,Hernandez L1,205,15,2.182606602,0.805969771,Hernandez,L1,7.3,26.2,2.7,237,0.45,0.39,9.17,0,< 200,2,<0.03,11:11,24/11/2023
primavera,Hernandez C,376.6666667,16,2.229605599,0.804160235,Hernandez,C,9.28,29.2,4.5,221,0.74,0.74,9.17,0,< 200,2,<0.03,11:30,24/11/2023
primavera,Hernandez L2,373.3333333,13,2.204178863,0.859345958,Hernandez,L2,764,29,4.1,230,0.74,0.37,9.17,0,< 200,2,<0.03,11:42,24/11/2023
primavera,Espinillo L1,370,17,2.368175219,0.835861946,Espinillo,L1,9.51,29.4,8.7,1434,0.41,0.41,10.6,0,< 200,1.2,0.08,09:45,21/11/2023
primavera,Espinillo C,163.3333333,15,2.252532295,0.831791188,Espinillo,C,9.35,28,7.8,1536,1.51,0.61,10.6,0,< 200,1.2,0.08,10:02,21/11/2023
primavera,Espinillo L2,83.33333333,10,1.788109039,0.776565889,Espinillo,L2,9.26,28.6,7.8,1535,0.14,0.14,10.6,0,< 200,1.2,0.08,10:45,21/11/2023
